,Unnamed: 0,Market Demand,Ontario Demand,Ontario Price,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West
0,Market Demand,1.0,0.9588252402050818,0.3152364305600389,0.2895138565362375,0.4631971189157376,0.7742107688730505,0.6656217343356017,0.9132563878117768,0.8547003631959497,0.1663668161198552,0.07552600864172669,0.07033266505273164,0.08062185199268948
1,Ontario Demand,0.9588252402050818,1.0,0.3610184249982769,0.2826214653729066,0.4476904838333041,0.8271789612178199,0.6679396791007497,0.9534510846627768,0.8711148935173235,0.1875243255842953,0.16226845994152952,0.1564019772984332,0.16634254030328793
2,Ontario Price,0.3152364305600389,0.3610184249982769,1.0,0.13995249854925546,0.20803477173710852,0.3264011804810672,0.2547631667363683,0.31335381132762985,0.33122125242506145,0.1406457219173174,0.1523173944632936,0.1528735731324156,0.1567757282615109
3,Northwest,0.2895138565362375,0.2826214653729066,0.13995249854925546,1.0,0.7455960668672472,0.3503449426079574,0.4108574031380136,0.10736832605540617,0.5295006005545341,0.2462727851456959,0.018249751642328726,0.00597178938384934,0.002837423125544502
4,Northeast,0.4631971189157376,0.4476904838333041,0.20803477173710852,0.7455960668672472,1.0,0.4346445019010153,0.586255089676865,0.28129294735222515,0.6461851515991562,0.30289869605954817,0.03733273550690543,0.0479462108215228,0.052657047780454866
5,Ottawa,0.7742107688730505,0.8271789612178199,0.3264011804810672,0.3503449426079574,0.4346445019010153,1.0,0.4252820459289195,0.7485479138031417,0.8064274332998178,0.18104208427397656,0.35633646444440586,0.3482104489188333,0.3556932068728589
6,East,0.6656217343356017,0.6679396791007497,0.2547631667363683,0.4108574031380136,0.586255089676865,0.4252820459289195,1.0,0.5303408431670575,0.7452730538118738,0.18904589940353508,0.048535381722034455,0.04062648758652452,0.04478867258123211
7,Toronto,0.9132563878117768,0.9534510846627768,0.31335381132762985,0.10736832605540617,0.28129294735222515,0.7485479138031417,0.5303408431670575,1.0,0.7448200740185773,0.13224283470511305,0.1064453797821548,0.10170855535004428,0.1131060592501873
8,Essa,0.8547003631959497,0.8711148935173235,0.33122125242506145,0.5295006005545341,0.6461851515991562,0.8064274332998178,0.7452730538118738,0.7448200740185773,1.0,0.2724152604010397,0.1290936971786158,0.11783726593743744,0.12501414456414225
9,Bruce,0.1663668161198552,0.1875243255842953,0.1406457219173174,0.2462727851456959,0.30289869605954817,0.18104208427397656,0.18904589940353508,0.13224283470511305,0.2724152604010397,1.0,0.019537259362873767,0.031444933126456506,0.033197537534208066
10,Southwest,0.07552600864172669,0.16226845994152952,0.1523173944632936,0.018249751642328726,0.03733273550690543,0.35633646444440586,0.048535381722034455,0.1064453797821548,0.1290936971786158,0.019537259362873767,1.0,0.9941481251443972,0.9957785280254904
11,Niagara,0.07033266505273164,0.1564019772984332,0.1528735731324156,0.00597178938384934,0.0479462108215228,0.3482104489188333,0.04062648758652452,0.10170855535004428,0.11783726593743744,0.031444933126456506,0.9941481251443972,1.0,0.9957832322414925
12,West,0.08062185199268948,0.16634254030328793,0.1567757282615109,0.002837423125544502,0.052657047780454866,0.3556932068728589,0.04478867258123211,0.1131060592501873,0.12501414456414225,0.033197537534208066,0.9957785280254904,0.9957832322414925,1.0
