min,max
0.0,2435.0
10167.0,25450.0
11450.748674671691,27893.819161719683
0.0,804.0
0.0,2026.0
0.0,2177.0
0.0,1783.0
0.0,10285.0
0.0,1936.0
-199.0,445.0
43.03,5025.0
43.19,970.0
43.0,2892.0
